CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup
CCCCN1C(CCCC1)C(=O)Nc2c(C)cccc2C,Bupivacaine,4.3,76,32,10,0.84,2.4,0.7,0.66,0.056,0.23,0.11,0.051
CC(C)(C)[C@](O)(C)[C@@H](C1)[C@](OC)(CC2)[C@@H]3Oc(c(O)cc4)c5c4C[C@H]([C@]12[C@]356)N(CC6)CC7CC7,Buprenorphine,19,0.05,,,4.9,8.37,,,0.04,,,
O=S(=O)(C)OCCCCOS(=O)(=O)C,Busulphan,2.4,5,19.25,,0.55,0.68,1,,1,0.91,,
C1CCC1CN(CC2)[C@H]([C@]([C@@]234)(O)CCCC3)Cc5c4cc(O)cc5,Butorphanol,41,91.2,58,,12,4.8,8.4,,0.17,0.34,0.3687,
n1cn(C)c(c12)c(=O)n(C)c(=O)n2C,Caffeine,1.4,12.5,2.35,3.06,0.63,0.92,0.76,0.83,0.64,0.96,,0.9837
OC(=O)C1CCC(CC1)NC(=O)C2(CCCC2)C[C@H](C(=O)O)COCCOC,Candoxatrilat,2.3,15,5.8,,0.25,,,,0.8723,0.23,,
SC[C@@H](C)C(=O)N1[C@H](C(=O)O)CCC1,Captopril,12,13,10.08,18.92,0.75,1.7,2.45,3.63,0.73,,,
[Pt+2],Carboplatin,1.5,11.5,3.3,72.9,0.26,0.4,0.99,0.32,1,,0.9116,1
ClCCN(N=O)C(=O)NCCCl,Carmustine,78,,17.8,21,1.2,,1.1,0.9,0.23,,,
O=C(N)OC[C@H]1N(S(=O)(=O)O)C(=O)[C@H]1NC(=O)/C(=N\OCC(=O)O)c2nc(N)sc2,Carumom,1.5,22,5.5,4.5,0.18,0.1,0.1,0.12,0.72,0.7,0.89,0.76
